2026-03-17 22:46:27,885 | INFO | scraper | Page 39 scraped successfully with 20 books.
2026-03-17 22:46:27,887 | INFO | scraper | Page 39 scraped successfully with 20 books.
2026-03-17 22:46:27,887 | INFO | scraper | Requesting page 40: attempt 1
2026-03-17 22:46:27,888 | INFO | scraper | Requesting page 40: attempt 1
2026-03-17 22:46:28,741 | INFO | scraper | Page 40 scraped successfully with 20 books.
2026-03-17 22:46:28,741 | INFO | scraper | Page 40 scraped successfully with 20 books.
2026-03-17 22:46:28,743 | INFO | scraper | Requesting page 41: attempt 1
2026-03-17 22:46:28,745 | INFO | scraper | Requesting page 41: attempt 1
2026-03-17 22:46:29,647 | INFO | scraper | Page 41 scraped successfully with 20 books.
2026-03-17 22:46:29,649 | INFO | scraper | Requesting page 42: attempt 1
2026-03-17 22:46:29,662 | INFO | scraper | Page 41 scraped successfully with 20 books.
2026-03-17 22:46:29,663 | INFO | scraper | Requesting page 42: attempt 1
2026-03-17 22:46:30,515 | INFO | scraper | Page 42 scraped successfully with 20 books.
2026-03-17 22:46:30,515 | INFO | scraper | Page 42 scraped successfully with 20 books.
2026-03-17 22:46:30,517 | INFO | scraper | Requesting page 43: attempt 1
2026-03-17 22:46:30,518 | INFO | scraper | Requesting page 43: attempt 1
2026-03-17 22:46:31,425 | INFO | scraper | Page 43 scraped successfully with 20 books.
2026-03-17 22:46:31,427 | INFO | scraper | Page 43 scraped successfully with 20 books.
2026-03-17 22:46:31,427 | INFO | scraper | Requesting page 44: attempt 1
2026-03-17 22:46:31,428 | INFO | scraper | Requesting page 44: attempt 1
2026-03-17 22:46:32,251 | INFO | scraper | Page 44 scraped successfully with 20 books.
2026-03-17 22:46:32,252 | INFO | scraper | Page 44 scraped successfully with 20 books.
2026-03-17 22:46:32,253 | INFO | scraper | Requesting page 45: attempt 1
2026-03-17 22:46:32,254 | INFO | scraper | Requesting page 45: attempt 1
2026-03-17 22:46:33,142 | INFO | scraper | Page 45 scraped successfully with 20 books.
2026-03-17 22:46:33,145 | INFO | scraper | Requesting page 46: attempt 1
2026-03-17 22:46:33,152 | INFO | scraper | Page 45 scraped successfully with 20 books.
2026-03-17 22:46:33,155 | INFO | scraper | Requesting page 46: attempt 1
2026-03-17 22:46:33,923 | INFO | scraper | Page 46 scraped successfully with 20 books.
2026-03-17 22:46:33,925 | INFO | scraper | Requesting page 47: attempt 1
2026-03-17 22:46:33,986 | INFO | scraper | Page 46 scraped successfully with 20 books.
2026-03-17 22:46:33,988 | INFO | scraper | Requesting page 47: attempt 1
2026-03-17 22:46:34,770 | INFO | scraper | Page 47 scraped successfully with 20 books.
2026-03-17 22:46:34,773 | INFO | scraper | Requesting page 48: attempt 1
2026-03-17 22:46:34,796 | INFO | scraper | Page 47 scraped successfully with 20 books.
2026-03-17 22:46:34,798 | INFO | scraper | Requesting page 48: attempt 1
2026-03-17 22:46:35,912 | INFO | scraper | Page 48 scraped successfully with 20 books.
2026-03-17 22:46:35,913 | INFO | scraper | Page 48 scraped successfully with 20 books.
2026-03-17 22:46:35,914 | INFO | scraper | Requesting page 49: attempt 1
2026-03-17 22:46:35,915 | INFO | scraper | Requesting page 49: attempt 1
2026-03-17 22:46:36,750 | INFO | scraper | Page 49 scraped successfully with 20 books.
2026-03-17 22:46:36,751 | INFO | scraper | Requesting page 50: attempt 1
2026-03-17 22:46:36,752 | INFO | scraper | Page 49 scraped successfully with 20 books.
2026-03-17 22:46:36,754 | INFO | scraper | Requesting page 50: attempt 1
2026-03-17 22:46:37,567 | INFO | scraper | Page 50 scraped successfully with 20 books.
2026-03-17 22:46:37,571 | INFO | scraper | Page 50 scraped successfully with 20 books.
2026-03-17 22:46:37,694 | INFO | scraper | Raw CSV data saved to data/raw/books_raw.csv
2026-03-17 22:46:37,694 | INFO | scraper | Raw CSV data saved to data/raw/books_raw.csv
2026-03-17 22:46:37,695 | INFO | scraper | Raw Parquet data saved to data/raw/books_raw.parquet
2026-03-17 22:46:37,695 | INFO | scraper | Raw Parquet data saved to data/raw/books_raw.parquet
2026-03-17 22:46:37,695 | INFO | scraper | Total records scraped: 1000
2026-03-17 22:46:37,695 | INFO | scraper | Total records scraped: 1000
2026-03-17 22:46:39,666 | INFO | transform | Reading raw data from data/raw/books_raw.csv
2026-03-17 22:46:39,671 | INFO | transform | Reading raw data from data/raw/books_raw.csv
2026-03-17 22:46:39,766 | INFO | transform | Processed CSV data saved to data/processed/books_clean.csv
2026-03-17 22:46:39,768 | INFO | transform | Processed Parquet data saved to data/processed/books_clean.parquet
2026-03-17 22:46:39,768 | INFO | transform | Total records transformed: 1000
2026-03-17 22:46:39,776 | INFO | transform | Processed CSV data saved to data/processed/books_clean.csv
2026-03-17 22:46:39,777 | INFO | transform | Processed Parquet data saved to data/processed/books_clean.parquet
2026-03-17 22:46:39,778 | INFO | transform | Total records transformed: 1000
2026-03-17 22:46:42,201 | INFO | load | Reading processed data from data/processed/books_clean.csv
2026-03-17 22:46:42,213 | INFO | load | Reading processed data from data/processed/books_clean.csv
2026-03-17 22:46:42,239 | INFO | load | Database connection successful.
2026-03-17 22:46:42,252 | INFO | load | Database connection successful.
2026-03-17 22:46:42,371 | INFO | load | Loaded 1000 records into PostgreSQL.
2026-03-17 22:46:42,374 | INFO | load | Loaded 1000 records into PostgreSQL.
